quatre,四,,,,
quatre-vingts,八十,,,,
quatre-vingt-dix,九十,,,,
"que,qu'est-ce que",什么,,,,
quel,什么样,,,,
quelque chose,某事，某物,,,,
quelques,某些，几个,,,,
quelqu'un,有人,,,,
question,问题,,,,
queue,尾巴/队伍,,,,
faire la queue,排队,,,,
qui,谁,,,,
quinze,十五,,,,
quoi,什么（事，东西）,,,,
Il n'y a pas de quoi,没关系，别客气。,,,,
raconter,讲述,,,,
rapidement,迅速，快,,,,
rappeler,再叫,,,,
rarement,稀少地,,,,
recevoir,接待，收到,,,,
réchaud,炉子,,,,
redescendre,再下业,,,,
regarder,瞧,,,,
région,地区,,,,
Renault,雷诺,,,,
rencontrer,遇见,,,,
rentrer,回来，,,,,
repas,餐，一顿饭,,,,
répondre(à),回答,,,,
repose(se),休息,,,,
respecter,尊重,,,,
ressembler(à),与…相像,,,,
rester,留下，逗留,,,,
retarder(de),（钟表）走慢,,,,
retrouver,重新找到,,,,
réveillon,（圣诞节前夜的）聚餐；年夜饭,,,,
revenir,回来，,,,,
révision,复习,,,,
revoir,再次见到,,,,
au revoir,再见,,,,
rien,什么也没有,,,,
riz,稻米，米饭,,,,
r?ti,烤肉,,,,
rouge,红色的,,,,
rougir,变红（色）,,,,
rouler,滚；（车辆）行驶，乘车走,,,,
rue,街道,,,,
saison,季节,,,,
salle,室，厅,,,,
saluer,向…致意,,,,
salut,致意（俗）你好！,,,,
sans,没有,,,,
asapin,枞树,,,,
"sauté,-e",嫩煎的，炒的,,,,
savoir,知道,,,,
séance,一场，一次，会期,,,,
secours,救护,,,,
seize,十六,,,,
séjour,逗留；起居室,,,,
semaine,星期，周,,,,
sentir,发出…气味,,,,
?a sent bon,好香啊！,,,,
se sentir,感觉 ,,,,
sept,七,,,,
septembre,九月,,,,
service,服务,,,,
servir,服待，上菜,,,,
seulement,只，仅仅,,,,
si,如果,,,,
siècle,世纪,,,,
signalement,体貌特征,,,,
simple,简单的,,,,
six,六,,,,
slip,[英]三角裤,,,,
s?ur,姐妹,,,,
soir,晚上,,,,
soirée,晚间，晚会,,,,
soixante,六十,,,,
soixante-dix,七十,,,,
soleil,太阳,,,,
sommeil,睡眠，睡意,,,,
avoir sommeil,困 ,,,,
sommet,顶，顶峰,,,,
"son,sa,ses",他（她，它）的,,,,
sortir,出去,,,,
soupe,汤,,,,
souvent,经常,,,,
station,车站,,,,
statue,塑像，雕像,,,,
suffire,足够,,,,
suisse,瑞士的,,,,
Suisse,瑞士人,,,,
sujet,题目,,,,
au sujet de,有关…,,,,
sur,在…之上,,,,
s?rement,肯定地,,,,
surtout,尤其,,,,
sympathique,热情的,,,,
tard,晚,,,,
plus tard,以后,,,,
tas,堆,,,,
des tas de,许多的,,,,
tasse ,杯子,,,,
taxi,出租汽车,,,,
te,你,,,,
téléphone,电话,,,,
téléphoner,打电话 ,,,,
télévision,电视,,,,
"tempéré,-e",温和的,,,,
